FILE,SIZE,GStime,GBtime,STtime,NMS,DTtime,Hystime,TOTAL,RESULT
360floralflaves-uLS5dH7thaI-unsplash(1).jpg,769145,8921.85,208574,139182,51004.2,12315.5,8051.18,428049
360floralflaves-uLS5dH7thaI-unsplash(2).jpg,3737051,42347.3,979497,659314,246143,56529.6,42869.4,2.0267e+06
360floralflaves-uLS5dH7thaI-unsplash.jpg,98448,978.276,23151.9,14154.1,4826.93,1469.28,1082.25,45662.7
ACD24-0161-064~orig.jpg,11510581,33459.6,772126,521415,193654,44012.4,35765.8,1.60043e+06
a-chosen-soul-radulW4SHhA-unsplash(1).jpg,215901,3324.27,78142.8,42417.8,12495.2,4538.13,3020.67,143939
a-chosen-soul-radulW4SHhA-unsplash(2).jpg,295838,5185.21,122227,64523.2,19265,7001.22,4373.79,222576
a-chosen-soul-radulW4SHhA-unsplash(3).jpg,4263924,84081.5,1.95565e+06,1.13426e+06,400469,108440,79294.9,3.7622e+06
a-chosen-soul-radulW4SHhA-unsplash.jpg,46099,301.713,8655.89,5146.28,1523.69,552.058,501.141,16680.8
behnam-norouzi-I5eKsDa8iwY-unsplash.jpg,122422,875.531,20559.6,10543.1,2983.07,1330.91,1355.93,37648.1
benjamin-chambon-0vnmC_UWuMg-unsplash.jpg,776405,8958.57,208736,112585,34873.2,12215.1,8390.74,385759
benjamin-chambon-SRXkNrlTalM-unsplash.jpg,1185847,8931.17,208450,120990,36903.3,14100.7,13375.1,402751
bernard-hermant-nHRXNv2qeDE-unsplash(1).jpg,2035689,8912.1,208448,136403,40689,15415.7,20148.7,430017
bernard-hermant-nHRXNv2qeDE-unsplash(2).jpg,3100276,13923.6,326145,213844,64238.3,23424.2,29420.3,670995
bernard-hermant-nHRXNv2qeDE-unsplash(3).jpg,293714,983.677,23136.9,15138.4,4552.08,1874.8,2719.86,48405.7
bernard-hermant-nHRXNv2qeDE-unsplash.jpg,8668552,39118.9,905356,603256,194395,62414.5,77859.3,1.8824e+06
christopher-stites-9RUeWUWUSII-unsplash(1).jpg,1710303,7942.24,185263,125811,43332.3,15142,18862.6,396353
christopher-stites-9RUeWUWUSII-unsplash(2).jpg,2484014,12395.5,289670,195619,67047.1,23103.7,28600.9,616435
christopher-stites-9RUeWUWUSII-unsplash(3).jpg,3920328,19808.1,459682,309186,106804,36367.9,43651.9,975500
christopher-stites-9RUeWUWUSII-unsplash.jpg,216569,872.456,20566.3,13843.4,4775.32,1646.95,2096.65,43801.1
christoph-nolte-_6sc3AzkEyA-unsplash(1).jpg,307132,7487.57,173833,82707.6,25851.2,9850.86,5573.48,305304
christoph-nolte-_6sc3AzkEyA-unsplash(2).jpg,498875,11574,271837,136821,43738.7,15335.8,8497.84,487805
christoph-nolte-_6sc3AzkEyA-unsplash(3).jpg,1174071,26111.2,611690,335626,116360,34308.2,18472,1.14257e+06
christoph-nolte-_6sc3AzkEyA-unsplash.jpg,42775,814.176,19273.4,7873.96,2110.48,1127.17,723.152,31922.3
circle.png,6499,70.453,1597.42,524.846,114.778,89.26,59.773,2456.53
eric-barbeau-RyRuudzKonE-unsplash.jpg,8843623,42312.4,979167,700329,256132,59953.9,52446.3,2.09034e+06
europeana-oYohiSeMhQ4-unsplash(1).jpg,946212,4232.24,99378.9,68853.9,23831.7,7495.02,8702.64,212494
europeana-oYohiSeMhQ4-unsplash(2).jpg,107782,458.47,11030.3,7530.51,2631.16,832.631,970.122,23453.2
europeana-oYohiSeMhQ4-unsplash.jpg,2483273,9893.63,231238,160964,56586.7,18652.2,20088.1,497423
filip-kvasnak-O67hc8Ws_xo-unsplash(1).jpg,1036128,8901.11,208508,143914,52530,12841.8,9570.3,436265
filip-kvasnak-O67hc8Ws_xo-unsplash(2).jpg,1576932,14037.3,338847,225689,81730.9,19818.2,14520.6,694643
filip-kvasnak-O67hc8Ws_xo-unsplash(3).jpg,3061985,28286.2,654628,453876,163981,39113.9,33719.3,1.37361e+06
filip-kvasnak-O67hc8Ws_xo-unsplash.jpg,113605,978.268,23141.7,14623.9,5101.71,1513.26,1254.03,46612.8
galactic-night-sky-astronomy-science-combined-generative-ai.jpg,5466922,29239.6,675964,384900,127208,39849.9,31985,1.28915e+06
galaxy-nature-aesthetic-background-starry-sky-mountain-remixed-media.jpg,17420049,27049.4,629074,451485,163465,48321.9,65718.1,1.38511e+06
henry-chen-C9ZwRUAPaIQ-unsplash(1).jpg,1026100,8961.23,208623,136300,48724.9,12316.8,8114.81,423040
