FILE,SIZE,GStime,GBtime,STtime,NMS,DTtime,Hystime,TOTAL,RESULT
360floralflaves-uLS5dH7thaI-unsplash(1).jpg,769145,5205,157,169,108,59,55,5753
360floralflaves-uLS5dH7thaI-unsplash(2).jpg,3737051,4739,595,673,400,196,195,6798
360floralflaves-uLS5dH7thaI-unsplash.jpg,98448,2625,41,46,29,27,27,2795
ACD24-0161-064~orig.jpg,11510581,2955,422,464,289,144,148,4422
a-chosen-soul-radulW4SHhA-unsplash(1).jpg,215901,2153,68,73,43,33,33,2403
a-chosen-soul-radulW4SHhA-unsplash(2).jpg,295838,3090,80,90,63,39,37,3399
a-chosen-soul-radulW4SHhA-unsplash(3).jpg,4263924,3143,947,1046,649,306,300,6391
a-chosen-soul-radulW4SHhA-unsplash.jpg,46099,3983,30,35,24,20,24,4116
behnam-norouzi-I5eKsDa8iwY-unsplash.jpg,122422,2496,34,39,26,23,27,2645
benjamin-chambon-0vnmC_UWuMg-unsplash.jpg,776405,4028,118,122,91,49,45,4453
benjamin-chambon-SRXkNrlTalM-unsplash.jpg,1185847,2421,146,147,101,59,61,2935
bernard-hermant-nHRXNv2qeDE-unsplash(1).jpg,2035689,3871,145,145,101,58,72,4392
bernard-hermant-nHRXNv2qeDE-unsplash(2).jpg,3100276,2395,200,208,142,81,96,3122
bernard-hermant-nHRXNv2qeDE-unsplash(3).jpg,293714,3130,40,43,29,24,29,3295
bernard-hermant-nHRXNv2qeDE-unsplash.jpg,8668552,2315,473,490,330,167,220,3995
christoph-nolte-_6sc3AzkEyA-unsplash(1).jpg,307132,3258,116,125,85,47,44,3675
christoph-nolte-_6sc3AzkEyA-unsplash(2).jpg,498875,2778,146,167,115,61,56,3323
christoph-nolte-_6sc3AzkEyA-unsplash(3).jpg,1174071,3791,298,342,212,128,110,4881
christoph-nolte-_6sc3AzkEyA-unsplash.jpg,42775,1948,35,40,26,56,26,2131
christopher-stites-9RUeWUWUSII-unsplash(1).jpg,1710303,3119,115,115,85,47,54,3535
christopher-stites-9RUeWUWUSII-unsplash(2).jpg,2484014,2771,196,205,140,77,89,3478
christopher-stites-9RUeWUWUSII-unsplash(3).jpg,3920328,3681,295,307,193,107,134,4717
christopher-stites-9RUeWUWUSII-unsplash.jpg,216569,2608,40,45,30,25,30,2778
circle.png,6499,3435,26,32,22,20,24,3559
eric-barbeau-RyRuudzKonE-unsplash.jpg,8843623,2804,436,470,325,157,172,4364
europeana-oYohiSeMhQ4-unsplash(1).jpg,946212,3547,71,73,50,32,36,3809
europeana-oYohiSeMhQ4-unsplash(2).jpg,107782,1959,32,36,27,21,25,2100
europeana-oYohiSeMhQ4-unsplash.jpg,2483273,3655,125,131,96,56,50,4113
filip-kvasnak-O67hc8Ws_xo-unsplash(1).jpg,1036128,2205,121,128,93,50,50,2647
filip-kvasnak-O67hc8Ws_xo-unsplash(2).jpg,1576932,3822,164,180,127,69,62,4424
filip-kvasnak-O67hc8Ws_xo-unsplash(3).jpg,3061985,2234,408,447,274,139,140,3642
filip-kvasnak-O67hc8Ws_xo-unsplash.jpg,113605,3982,42,49,31,25,30,4159
galactic-night-sky-astronomy-science-combined-generative-ai.jpg,5466922,2710,344,389,245,129,127,3944
galaxy-nature-aesthetic-background-starry-sky-mountain-remixed-media.jpg,17420049,3557,337,331,235,118,125,4703
henry-chen-C9ZwRUAPaIQ-unsplash(1).jpg,1026100,2288,132,141,95,53,48,2757
henry-chen-C9ZwRUAPaIQ-unsplash(2).jpg,1485581,3554,180,204,134,74,65,4211
henry-chen-C9ZwRUAPaIQ-unsplash(3).jpg,4232197,3203,572,652,408,200,201,5236
henry-chen-C9ZwRUAPaIQ-unsplash.jpg,143385,2839,38,44,27,26,25,2999
imad-786-bS86J4xzmbM-unsplash(1).jpg,689817,2790,145,163,112,61,54,3325
imad-786-bS86J4xzmbM-unsplash(2).jpg,463930,3319,108,114,82,45,41,3709
imad-786-bS86J4xzmbM-unsplash(3).jpg,1586997,2478,385,435,265,134,133,3830
imad-786-bS86J4xzmbM-unsplash.jpg,76006,3140,36,42,26,23,33,3300
image_10_1772x4317.jpg,664877,2536,160,172,122,67,60,3117
image_11_4655x1401.jpg,679113,3198,140,152,104,61,55,3710
image_12_4277x1506.jpg,434775,2101,139,157,103,58,54,2612
image_13_633x2563.jpg,186117,3506,56,60,36,28,31,3717
image_14_3221x373.jpg,37064,2525,47,55,33,27,27,2714
image_15_1821x1543.jpg,192794,3281,75,82,54,37,32,3561
image_16_1922x3627.jpg,511471,2952,155,168,120,75,61,3531
image_17_585x2590.jpg,119544,3473,49,55,34,28,26,3665
image_18_575x1328.jpg,55982,2681,49,53,34,27,31,2875
image_19_2635x4649.jpg,972988,3255,255,278,178,95,101,4162
image_1_394x2626.jpg,162212,2567,46,50,32,26,28,2749
image_20_944x452.jpg,58617,3539,34,39,28,23,26,3689
image_21_3762x2135.jpg,1103840,2178,159,172,122,66,59,2756
image_22_4269x338.jpg,190364,4004,51,56,37,25,30,4203
image_23_863x1489.jpg,147790,2533,45,51,32,24,27,2712
image_24_840x1058.jpg,69874,3735,39,68,29,26,23,3920
image_25_1843x173.jpg,59114,2227,30,35,25,20,23,2360
image_26_1490x1992.jpg,283333,3942,71,78,55,33,34,4213
image_27_2697x3028.jpg,432890,2360,171,181,124,68,61,2965
image_28_1007x4084.jpg,451808,3616,97,104,77,42,43,3979
image_29_3767x160.jpg,107349,2591,37,42,28,25,24,2747
image_2_4984x2676.jpg,2152738,3627,253,256,178,96,99,4509
